Time,PV
2020-11-23 00:00:00,0.0
2020-11-23 01:00:00,0.0
2020-11-23 02:00:00,0.0
2020-11-23 03:00:00,0.0
2020-11-23 04:00:00,0.0
2020-11-23 05:00:00,0.0
2020-11-23 06:00:00,0.0
2020-11-23 07:00:00,0.0
2020-11-23 08:00:00,818.3499999999999
2020-11-23 09:00:00,2646.1
2020-11-23 10:00:00,3185.5
2020-11-23 11:00:00,2980.3
2020-11-23 12:00:00,1767.15
2020-11-23 13:00:00,1232.35
2020-11-23 14:00:00,371.29999999999995
2020-11-23 15:00:00,0.0
2020-11-23 16:00:00,0.0
2020-11-23 17:00:00,0.0
2020-11-23 18:00:00,0.0
2020-11-23 19:00:00,0.0
2020-11-23 20:00:00,0.0
2020-11-23 21:00:00,0.0
2020-11-23 22:00:00,0.0
2020-11-23 23:00:00,0.0
2020-11-24 00:00:00,0.0
